name,address,location,adname,type,shopinfo,lng,lat,is_chain
VOYAGE COFFEE(永嘉路店),永嘉路502号,"121.452725,31.206125",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452725,31.206125,False
八角杯咖啡(嘉善路店),嘉善路160号,"121.459274,31.209923",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459274,31.209923,False
DOU COFFEE ROASTERS(慎成里店),嘉善路121号,"121.459373,31.209921",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459373,31.209921,False
COPLUSDE咖啡豆仓(襄阳南路店),襄阳南路288号-2号,"121.457617,31.210176",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457617,31.210176,False
ALOHA COFFEE(襄阳南路店),襄阳南路269号-甲,"121.457799,31.210293",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.457799,31.210293,False
Habibl Cafe&Shisha(永嘉路300弄小区店),永康路131号(丁香花园/复兴西路),"121.456713,31.210359",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.456713,31.210359,False
啡之语(上海徐汇区),永康路182号,"121.456110,31.210240",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.45611,31.21024,False
精气神咖啡,永康路182号甲,"121.456260,31.210324",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.45626,31.210324,False
星巴克(明珠店),肇嘉浜路212号明珠大酒店大堂,"121.462655,31.203567",黄浦区,餐饮服务;咖啡厅;星巴克咖啡,1,121.462655,31.203567,True
Plastic Attic塑料阁楼(永康路89号),永康路89号(环贸iapm商场襄阳南路),"121.457421,31.210641",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.457421,31.210641,False
瑞幸咖啡(玖時活力中心店),大木桥路18号玖时活力中心商场B2层B2002室,"121.460418,31.201497",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.460418,31.201497,True
中古屋咖啡(玖時活力中心店),大木桥路18号玖時活力中心F4层(嘉善路地铁站4号口旁),"121.460502,31.201485",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.460502,31.201485,False
EAU CAFE,永康路85号(陕西南路地铁站7号口步行480米),"121.457733,31.210764",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.457733,31.210764,False
HUGO HUSKY HOUSE,瑞金一路169号,"121.461014,31.209883",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.461014,31.209883,False
雷米,永康路88号(陕西南路地铁站7号口步行470米),"121.457423,31.210794",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457423,31.210794,False
星巴克上海绍兴路1号车店,瑞金二路街道绍兴路1号,"121.462625,31.208665",黄浦区,餐饮服务;咖啡厅;星巴克咖啡,0,121.462625,31.208665,True
ROLLINS COFFEE(陕西南路店),陕西南路510号,"121.461475,31.209771",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.461475,31.209771,False
音爆咖啡无限吧,绍兴路与陕西南路交叉口东100米,"121.462779,31.208597",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.462779,31.208597,False
舔勺SPOOOON(永康路店),永康路59号,"121.458325,31.210950",徐汇区,餐饮服务;中餐厅;中餐厅|餐饮服务;冷饮店;冷饮店,0,121.458325,31.21095,False
BATHE COFFEE(永康小区北区店),永康路70号,"121.458102,31.210994",徐汇区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;咖啡厅;咖啡厅,1,121.458102,31.210994,False
熊爪咖啡give&take(永康路店),永康路68号,"121.458168,31.211010",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458168,31.21101,False
大小乐咖啡商店(陕西南路488弄小区店),陕西南路488弄小区,"121.461140,31.210140",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.46114,31.21014,False
CUBIC 3 三立方咖啡(永康路店),永康路58号,"121.458307,31.211038",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458307,31.211038,False
Honky Tonk Coffee,襄阳南路262号(陕西南路地铁站7号口步行430米),"121.457435,31.211080",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457435,31.21108,False
Manner Coffee(玖時活力中心店),大木桥路18号玖時活力中心F1层(嘉善路地铁站4号口旁),"121.461003,31.201332",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.461003,31.201332,True
